"user_id","datetime","weekday","place_name","transport_mode","lon_x","lat_y","geometry","traj","traj_id2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:24:12,"Tue",NA,"Bike",8.521572,47.35551,c(2681816.74883681, 1245526.50340979),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:24:12,"Tue",NA,"Bike",8.521655,47.35553,c(2681822.98841152, 1245528.81336671),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:24:24,"Tue",NA,"Bike",8.521655,47.35553,c(2681822.98841152, 1245528.81336671),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:24:24,"Tue",NA,"Bike",8.521686,47.355997,c(2681824.61373045, 1245580.76247949),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:24:38,"Tue",NA,"Bike",8.521414,47.356727,c(2681802.94572411, 1245661.6336398),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:24:52,"Tue",NA,"Bike",8.521409,47.356962,c(2681802.20750377, 1245687.75358811),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:25:02,"Tue",NA,"Bike",8.521683,47.357512,c(2681822.06241882, 1245749.18324562),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:25:12,"Tue",NA,"Bike",8.521787,47.357553,c(2681829.85592002, 1245753.84969674),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:25:23,"Tue",NA,"Bike",8.521783,47.357707,c(2681829.31742449, 1245770.96584647),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:25:38,"Tue",NA,"Bike",8.521976,47.358807,c(2681842.20872923, 1245893.45514406),"COMBINE","2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 18:25:53,"Tue",NA,"Bike",8.52273,47.359113,c(2681898.69638529, 1245928.2600991),"COMBINE","2"
